ID;Requisito;Titulo;Pre-condicao;Passos;Resultado esperado;Prioridade;Semana;Status;Data execucao;Issue
CT47;RF49;Baixar documento anexado;Documento enviado no CT46;1. Clicar em Baixar;"O arquivo baixa (não abre em aba); o conteúdo é idêntico ao enviado";Alta;5;Não executado;;
CT48;RNF17;Arquivo com extensão trocada é recusado;Usuário gestor autenticado;1. Renomear um .html para .pdf  2. Tentar anexar;Recusa com aviso de que o conteúdo não corresponde à extensão;Alta;5;Não executado;;
CT49;RNF17;Tipo não permitido é recusado;Usuário gestor autenticado;1. Tentar anexar um .svg e um .exe;Recusa nos dois casos, com a lista de tipos aceitos;Alta;5;Não executado;;
CT50;RF49;Arquivo acima do limite é recusado;Usuário gestor autenticado;1. Tentar anexar arquivo maior que 20 MB;Recusa informando o tamanho do arquivo e o limite;Média;5;Não executado;;
CT51;RF49;Documento por link externo;Documento já hospedado no Drive;1. Informar o link em vez de enviar arquivo;"Documento aparece na lista marcado como link; o botão abre a URL";Média;5;Não executado;;
CT52;RF50;Reenvio do mesmo arquivo não duplica;Documento do CT46 já anexado;1. Enviar o mesmo arquivo de novo;A lista continua com um documento só;Média;5;Não executado;;
CT53;RF10;Instituição com histórico não é excluída;Instituição com presenças registradas;1. Abrir a instituição  2. Menu  3. Excluir instituição;Recusa explicando o motivo e sugerindo desativar;Alta;3;Não executado;;
CT54;RF10;Desativar instituição preserva o histórico;Instituição do CT53;1. Desativar  2. Abrir o histórico de participação;"Situação vira Inativa; todas as presenças anteriores continuam lá";Alta;3;Não executado;;
CT55;RF39;Reunião com presenças não é excluída;Reunião encerrada com presenças;1. Tentar excluir a reunião;"Recusa sugerindo cancelar; nenhuma presença é perdida";Alta;4;Não executado;;
CT56;RF24;Convidar todos os representantes ativos;Reunião agendada e instituições ativas com vínculos;1. Abrir a reunião  2. Convidar todos;Contador de convidados bate com o número de vínculos ativos;Alta;4;Não executado;;
CT57;RF35;Confirmação não conta como presença;Convite enviado no CT56;1. Marcar um convite como confirmado  2. Abrir a lista de presença;"Aparece como confirmado e sem presença; o contador de presentes não muda";Alta;4;Não executado;;
CT58;RF37;Marcação manual de presença;Reunião do dia e representante que não escaneou o QR;1. Abrir a lista de presença  2. Marcar como presente;"Presença registrada com origem manual e autor identificado; entra nos indicadores";Alta;4;Não executado;;
CT59;RF38;Marcação de ausência justificada;Representante que avisou que não iria;1. Marcar como justificado;"Registro salvo sem horário de entrada; aparece separado dos ausentes";Média;4;Não executado;;
CT60;RF42;Histórico por instituição;Instituição com participação em várias reuniões;1. Abrir o histórico da instituição;Uma linha por reunião esperada, indicando se a instituição compareceu e quem foi;Alta;5;Não executado;;
CT61;RF44;Reunião anterior à entrada não conta como falta;Instituição que entrou no ecossistema depois de reuniões já realizadas;1. Abrir o histórico da instituição;Reuniões anteriores à entrada não aparecem no histórico nem no percentual;Alta;5;Não executado;;
CT62;RNF15;Autoria aparece para o perfil gestor;Instituição cadastrada por outro usuário;1. Entrar como gestor  2. Abrir o detalhe da instituição;"O card do cadastro mostra quem cadastrou e quem atualizou; o e-mail do autor não aparece";Média;3;Não executado;;
